,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
141,17900,"Columbia, SC Metro Area",2015,810574,7/1/14,2014,2015,1,both,"Columbia, SC Metro Area",22.0,2.3,0.198
142,17900,"Columbia, SC Metro Area",2016,816450,7/1/14,2014,2015,1,both,"Columbia, SC Metro Area",22.0,2.3,0.198
143,17900,"Columbia, SC Metro Area",2017,825004,7/1/14,2014,2015,1,both,"Columbia, SC Metro Area",22.0,2.3,0.198
144,17980,"Columbus, GA-AL Metro Area",2017,305911,9/1/16,2016,2017,1,both,"Columbus, GA-AL Metro Area",22.0,2.3,0.198
145,18140,"Columbus, OH Metro Area",2014,1994536,12/1/13,2013,2014,1,both,"Columbus, OH Metro Area",21.0,4.4,0.198
146,18140,"Columbus, OH Metro Area",2015,2021632,12/1/13,2013,2014,1,both,"Columbus, OH Metro Area",21.0,4.4,0.198
147,18140,"Columbus, OH Metro Area",2016,2041520,12/1/13,2013,2014,1,both,"Columbus, OH Metro Area",21.0,4.4,0.198
148,18140,"Columbus, OH Metro Area",2017,2078725,12/1/13,2013,2014,1,both,"Columbus, OH Metro Area",21.0,4.4,0.198
149,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2013,6812373,8/1/12,2012,2013,1,both,"Dallas-Fort Worth-Arlington, TX Metro Area",17.0,4.1,0.098
150,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2014,6954003,8/1/12,2012,2013,1,both,"Dallas-Fort Worth-Arlington, TX Metro Area",17.0,4.1,0.098
151,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2015,7102165,8/1/12,2012,2013,1,both,"Dallas-Fort Worth-Arlington, TX Metro Area",17.0,4.1,0.098
152,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2016,7232599,8/1/12,2012,2013,1,both,"Dallas-Fort Worth-Arlington, TX Metro Area",17.0,4.1,0.098
153,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2017,7400479,8/1/12,2012,2013,1,both,"Dallas-Fort Worth-Arlington, TX Metro Area",17.0,4.1,0.098
154,19300,"Daphne-Fairhope-Foley, AL Metro Area",2017,212628,10/1/16,2016,2017,1,left_only,,,,
155,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2016,383352,7/1/15,2015,2016,1,both,"Davenport-Moline-Rock Island, IA-IL Metro Area",22.0,2.3,0.198
156,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2017,382298,7/1/15,2015,2016,1,both,"Davenport-Moline-Rock Island, IA-IL Metro Area",22.0,2.3,0.198
157,19380,"Dayton, OH Metro Area",2015,800909,10/1/14,2014,2015,1,both,"Dayton, OH Metro Area",21.0,4.4,0.198
158,19380,"Dayton, OH Metro Area",2016,800683,10/1/14,2014,2015,1,both,"Dayton, OH Metro Area",21.0,4.4,0.198
159,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,both,"Dayton, OH Metro Area",21.0,4.4,0.198
160,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2015,623279,12/1/14,2014,2015,1,both,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",21.0,4.4,0.198
161,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2016,637674,12/1/14,2014,2015,1,both,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",21.0,4.4,0.198
