UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Charlotte, NC-SC",Bus,80016,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21416028.0,22406727.0,25351079.0,24881543.0
"Charlotte, NC-SC",DemandResponse,160472,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448550.0,1730530.0,1505405.0,1353786.0
"Charlotte, NC-SC",Rail,80016,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4553044.0,5053583.0,3907008.0,3599048.0
"Charlottesville, VA",Bus,30036,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765326.0,551563.0,484203.0,457391.0
"Charlottesville, VA",DemandResponse,30045,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883090.0,1247856.0,1465144.0,1090228.0
"Chattanooga, TN-GA",Bus,40001,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957786.0,1988828.0,2000010.0,1940862.0
"Chattanooga, TN-GA",DemandResponse,80002,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188547.0,109284.0,114455.0,128541.0
"Chattanooga, TN-GA",Rail,40001,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426729.0,2482178.0,2917484.0,3029715.0
"Cheyenne, WY",Bus,80020,377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96485.0,95242.0,85672.0,116002.0
"Cheyenne, WY",DemandResponse,80020,377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49705.0,51284.0,50315.0,59758.0
"Chicago, IL-IN",Bus,350745,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331599669.0,326880501.0,314279268.0,303547368.0
"Chicago, IL-IN",DemandResponse,651586,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16568136.0,16771007.0,16162664.0,15288019.0
"Chicago, IL-IN",Other,50521,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359692.0
"Chicago, IL-IN",Rail,150288,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621393646.0,657407248.0,664434283.0,671930290.0
"Chico, CA",Bus,90208,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292794.0,1329344.0,1348931.0,1265451.0
